M_demand,S1_demand,S2_demand
8000,35500,16500
8250,35500,16250
8500,35250,16250
8750,35250,16000
9000,35000,16000
9250,35000,15750
9500,34750,15750
9750,34750,15500
10000,34500,15500
10250,34500,15250
10500,34250,15250
10750,34250,15000
11000,34000,15000
11250,34000,14750
11500,33750,14750
11750,33750,14500
12000,33500,14500
12250,33500,14250
12500,33250,14250
12750,33250,14000
13000,33000,14000
13250,33000,13750
13500,32750,13750
13750,32750,13500
14000,32500,13500
14250,32500,13250
14500,32250,13250
14750,32250,13000
15000,32000,13000
15250,32000,12750
15500,31750,12750
15750,31750,12500
16000,31500,12500
